,Unnamed: 0,exphappy,samerace,hobby_diff_phys,hobby_diff_out,hobby_diff_in,attr_diff,sinc_diff,intel_diff,fun_diff,age_diff,same_career,confidence,imprace,date_freq,out_freq,match
23,23,2.0,1,4.0,2.0,2.0,5.0,0.0,5.0,6.0,6.0,0,0.0,2.0,2.0,0.0,0
24,24,2.0,0,4.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,0,0.0,3.0,2.0,0.0,0
25,25,2.0,1,4.0,0.0,4.0,6.0,2.0,6.0,0.0,0.0,0,0.0,5.0,2.0,0.0,0
26,26,2.0,1,4.0,2.0,4.0,6.0,6.0,6.0,0.0,3.0,0,0.0,2.0,2.0,0.0,0
27,27,2.0,1,4.0,4.0,6.0,6.0,0.0,4.0,0.0,6.0,0,0.0,5.0,2.0,0.0,0
28,28,2.0,1,4.0,2.0,3.0,6.0,2.0,6.0,0.0,6.0,0,0.0,2.0,2.0,0.0,0
29,29,2.0,1,4.0,3.0,4.0,6.0,2.0,5.0,6.0,0.0,0,0.0,2.0,2.0,0.0,0
30,30,0.0,1,5.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,0,0.0,2.0,4.0,0.0,0
31,31,0.0,1,5.0,2.0,2.0,6.0,3.0,2.0,6.0,0.0,1,0.0,0.0,4.0,0.0,0
32,32,0.0,0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,0.0,1,0.0,6.0,4.0,0.0,0
33,33,0.0,1,6.0,4.0,3.0,3.0,2.0,2.0,6.0,0.0,1,0.0,0.0,4.0,0.0,1
34,34,0.0,0,5.0,6.0,3.0,3.0,2.0,3.0,2.0,0.0,1,0.0,6.0,4.0,0.0,0
35,35,0.0,1,4.0,2.0,6.0,6.0,3.0,5.0,2.0,6.0,0,0.0,3.0,4.0,0.0,0
36,36,0.0,1,5.0,6.0,3.0,4.0,3.0,4.0,2.0,4.0,0,0.0,0.0,4.0,0.0,0
37,37,0.0,1,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,0,0.0,2.0,4.0,0.0,0
38,38,0.0,1,4.0,4.0,4.0,5.0,3.0,4.0,6.0,3.0,0,0.0,0.0,4.0,0.0,1
39,39,0.0,1,5.0,3.0,5.0,6.0,3.0,2.0,3.0,0.0,0,0.0,0.0,4.0,0.0,0
40,40,4.0,1,2.0,3.0,3.0,4.0,3.0,4.0,6.0,3.0,0,0.0,5.0,3.0,0.0,0
41,41,4.0,1,2.0,2.0,2.0,6.0,6.0,3.0,6.0,0.0,1,0.0,2.0,3.0,0.0,0
42,42,4.0,0,2.0,3.0,6.0,3.0,3.0,3.0,5.0,0.0,1,0.0,3.0,3.0,0.0,0
43,43,4.0,1,2.0,3.0,2.0,3.0,0.0,2.0,6.0,6.0,1,0.0,2.0,3.0,0.0,1
44,44,4.0,0,6.0,3.0,2.0,4.0,6.0,3.0,3.0,6.0,1,0.0,3.0,3.0,0.0,0
45,45,4.0,1,6.0,2.0,2.0,6.0,0.0,5.0,3.0,2.0,0,0.0,5.0,3.0,0.0,0
46,46,4.0,1,6.0,3.0,3.0,4.0,2.0,5.0,4.0,5.0,0,0.0,2.0,3.0,0.0,0
47,47,4.0,1,2.0,4.0,2.0,4.0,6.0,2.0,4.0,3.0,0,0.0,5.0,3.0,0.0,0
48,48,4.0,1,3.0,3.0,4.0,6.0,0.0,4.0,3.0,4.0,0,0.0,2.0,3.0,0.0,1
49,49,4.0,1,4.0,3.0,4.0,6.0,0.0,3.0,3.0,6.0,0,0.0,2.0,3.0,0.0,0
50,50,2.0,0,3.0,2.0,2.0,3.0,5.0,3.0,5.0,2.0,0,0.0,2.0,2.0,0.0,0
51,51,2.0,0,3.0,6.0,3.0,6.0,4.0,2.0,6.0,0.0,1,0.0,0.0,2.0,0.0,0
52,52,2.0,1,4.0,4.0,4.0,2.0,5.0,3.0,5.0,0.0,1,0.0,6.0,2.0,0.0,0
53,53,2.0,0,0.0,3.0,5.0,2.0,3.0,2.0,6.0,0.0,1,0.0,0.0,2.0,0.0,1
54,54,2.0,0,6.0,2.0,4.0,3.0,3.0,3.0,3.0,0.0,1,0.0,6.0,2.0,0.0,0
55,55,2.0,0,2.0,2.0,3.0,5.0,4.0,5.0,3.0,6.0,0,0.0,3.0,2.0,0.0,0
56,56,2.0,0,2.0,6.0,3.0,3.0,4.0,4.0,3.0,4.0,0,0.0,0.0,2.0,0.0,0
57,57,2.0,0,4.0,3.0,4.0,3.0,3.0,6.0,3.0,2.0,0,0.0,2.0,2.0,0.0,0
58,58,2.0,0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,0,0.0,0.0,2.0,0.0,1
59,59,2.0,0,4.0,3.0,3.0,6.0,4.0,2.0,4.0,0.0,0,0.0,0.0,2.0,0.0,0
60,60,4.0,0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,0,0.0,2.0,4.0,0.0,0
61,61,4.0,0,4.0,5.0,2.0,6.0,2.0,3.0,6.0,0.0,1,0.0,0.0,4.0,0.0,0
62,62,4.0,1,4.0,2.0,3.0,2.0,3.0,4.0,4.0,0.0,1,0.0,6.0,4.0,0.0,0
63,63,4.0,0,6.0,4.0,4.0,3.0,6.0,3.0,6.0,0.0,1,0.0,0.0,4.0,0.0,1
64,64,4.0,0,6.0,4.0,4.0,3.0,2.0,4.0,3.0,6.0,1,0.0,6.0,4.0,0.0,0
65,65,4.0,0,4.0,4.0,2.0,5.0,2.0,6.0,2.0,6.0,0,0.0,3.0,4.0,0.0,0
66,66,4.0,0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,0,0.0,0.0,4.0,0.0,0
67,67,4.0,0,3.0,6.0,3.0,4.0,2.0,3.0,3.0,3.0,0,0.0,3.0,4.0,0.0,0
68,68,4.0,0,4.0,4.0,6.0,5.0,2.0,5.0,2.0,3.0,0,0.0,0.0,4.0,0.0,1
69,69,4.0,0,3.0,3.0,5.0,6.0,2.0,3.0,2.0,6.0,0,0.0,0.0,4.0,0.0,0
70,70,3.0,1,4.0,4.0,5.0,3.0,4.0,4.0,4.0,6.0,0,0.0,2.0,4.0,0.0,0
71,71,3.0,1,4.0,3.0,4.0,5.0,2.0,3.0,6.0,6.0,0,0.0,0.0,4.0,0.0,1
72,72,3.0,0,3.0,2.0,4.0,6.0,4.0,4.0,3.0,6.0,0,0.0,6.0,4.0,0.0,1
73,73,3.0,1,6.0,3.0,5.0,2.0,6.0,3.0,6.0,6.0,0,0.0,0.0,4.0,0.0,1
74,74,3.0,0,6.0,2.0,4.0,2.0,3.0,4.0,2.0,0.0,0,0.0,6.0,4.0,0.0,1
75,75,3.0,1,4.0,3.0,3.0,5.0,2.0,6.0,6.0,0.0,0,0.0,3.0,4.0,0.0,1
76,76,3.0,1,5.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,0,0.0,0.0,4.0,0.0,0
77,77,3.0,1,3.0,6.0,3.0,3.0,3.0,3.0,2.0,6.0,0,0.0,2.0,4.0,0.0,1
78,78,3.0,1,6.0,3.0,6.0,4.0,2.0,5.0,6.0,6.0,0,0.0,0.0,4.0,0.0,1
79,79,3.0,1,6.0,0.0,5.0,6.0,2.0,3.0,2.0,0.0,0,0.0,0.0,4.0,0.0,1
80,80,3.0,0,2.0,4.0,3.0,4.0,2.0,3.0,6.0,0.0,0,0.0,2.0,3.0,0.0,0
81,81,3.0,0,4.0,3.0,2.0,6.0,6.0,2.0,6.0,2.0,0,0.0,0.0,3.0,0.0,1
82,82,3.0,0,2.0,0.0,2.0,3.0,2.0,3.0,5.0,2.0,0,0.0,6.0,3.0,0.0,1
83,83,3.0,0,6.0,3.0,3.0,3.0,0.0,2.0,6.0,6.0,0,0.0,0.0,3.0,0.0,1
84,84,3.0,0,5.0,2.0,3.0,3.0,6.0,3.0,4.0,6.0,0,0.0,6.0,3.0,0.0,1
85,85,3.0,0,3.0,3.0,2.0,6.0,6.0,5.0,3.0,0.0,0,0.0,3.0,3.0,0.0,1
86,86,3.0,0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,0,0.0,0.0,3.0,0.0,1
87,87,3.0,0,2.0,6.0,3.0,4.0,6.0,2.0,4.0,0.0,0,0.0,2.0,3.0,0.0,0
88,88,3.0,0,6.0,3.0,5.0,5.0,6.0,4.0,3.0,6.0,0,0.0,0.0,3.0,0.0,1
89,89,3.0,0,6.0,2.0,5.0,6.0,6.0,2.0,5.0,6.0,0,0.0,0.0,3.0,0.0,0
90,90,4.0,1,4.0,6.0,2.0,3.0,3.0,2.0,6.0,0.0,0,0.0,3.0,5.0,0.0,0
91,91,4.0,1,6.0,6.0,6.0,6.0,2.0,6.0,6.0,2.0,0,0.0,6.0,5.0,0.0,0
92,92,4.0,0,5.0,6.0,2.0,2.0,3.0,2.0,6.0,2.0,0,0.0,2.0,5.0,0.0,1
93,93,4.0,1,3.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,0,0.0,6.0,5.0,0.0,0
94,94,4.0,0,2.0,2.0,2.0,3.0,6.0,2.0,6.0,6.0,0,0.0,2.0,5.0,0.0,0
95,95,4.0,1,3.0,0.0,3.0,5.0,3.0,4.0,6.0,0.0,0,0.0,4.0,5.0,0.0,0
96,96,4.0,1,2.0,6.0,3.0,4.0,2.0,3.0,6.0,2.0,0,0.0,6.0,5.0,0.0,0
97,97,4.0,1,4.0,4.0,4.0,4.0,6.0,6.0,6.0,0.0,0,0.0,4.0,5.0,0.0,0
98,98,4.0,1,6.0,6.0,2.0,5.0,3.0,3.0,5.0,6.0,0,0.0,6.0,5.0,0.0,1
99,99,4.0,1,2.0,2.0,3.0,6.0,2.0,6.0,6.0,6.0,0,0.0,6.0,5.0,0.0,0
100,100,4.0,0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,0,0.0,2.0,4.0,3.0,0
101,101,4.0,1,3.0,3.0,6.0,6.0,3.0,4.0,4.0,6.0,0,0.0,2.0,4.0,3.0,0
102,102,4.0,1,5.0,2.0,2.0,6.0,2.0,6.0,2.0,6.0,0,0.0,5.0,4.0,3.0,0
103,103,4.0,1,5.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,0,0.0,2.0,4.0,3.0,0
104,104,4.0,1,2.0,3.0,3.0,4.0,3.0,4.0,6.0,3.0,0,0.0,5.0,4.0,3.0,0
105,105,4.0,0,3.0,2.0,2.0,3.0,5.0,3.0,5.0,2.0,0,0.0,2.0,4.0,3.0,0
106,106,4.0,0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,0,0.0,2.0,4.0,3.0,0
107,107,4.0,1,4.0,4.0,5.0,3.0,4.0,4.0,4.0,6.0,0,0.0,2.0,4.0,3.0,0
108,108,4.0,0,2.0,4.0,3.0,4.0,2.0,3.0,6.0,0.0,0,0.0,2.0,4.0,3.0,0
109,109,4.0,1,4.0,6.0,2.0,3.0,3.0,2.0,6.0,0.0,0,0.0,3.0,4.0,3.0,0
110,110,4.0,0,2.0,3.0,3.0,6.0,3.0,2.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0
111,111,4.0,1,3.0,2.0,3.0,6.0,6.0,3.0,6.0,6.0,0,0.0,0.0,0.0,0.0,0
112,112,4.0,1,4.0,6.0,2.0,6.0,6.0,5.0,6.0,6.0,0,0.0,2.0,0.0,0.0,0
113,113,4.0,1,5.0,2.0,2.0,6.0,3.0,2.0,6.0,0.0,1,0.0,0.0,0.0,0.0,0
114,114,4.0,1,2.0,2.0,2.0,6.0,6.0,3.0,6.0,0.0,1,0.0,2.0,0.0,0.0,0
115,115,4.0,0,3.0,6.0,3.0,6.0,4.0,2.0,6.0,0.0,1,0.0,0.0,0.0,0.0,0
116,116,4.0,0,4.0,5.0,2.0,6.0,2.0,3.0,6.0,0.0,1,0.0,0.0,0.0,0.0,0
117,117,4.0,1,4.0,3.0,4.0,5.0,2.0,3.0,6.0,6.0,0,0.0,0.0,0.0,0.0,1
118,118,4.0,0,4.0,3.0,2.0,6.0,6.0,2.0,6.0,2.0,0,0.0,0.0,0.0,0.0,1
119,119,4.0,1,6.0,6.0,6.0,6.0,2.0,6.0,6.0,2.0,0,0.0,6.0,0.0,0.0,0
120,120,6.0,1,2.0,3.0,4.0,2.0,4.0,3.0,2.0,0.0,0,0.0,6.0,6.0,0.0,1
121,121,6.0,0,2.0,2.0,4.0,5.0,2.0,4.0,3.0,6.0,0,0.0,6.0,6.0,0.0,0
122,122,6.0,0,5.0,6.0,6.0,4.0,2.0,5.0,6.0,6.0,0,0.0,3.0,6.0,0.0,0
123,123,6.0,0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,0.0,1,0.0,6.0,6.0,0.0,0
124,124,6.0,0,2.0,3.0,6.0,3.0,3.0,3.0,5.0,0.0,1,0.0,3.0,6.0,0.0,0
125,125,6.0,1,4.0,4.0,4.0,2.0,5.0,3.0,5.0,0.0,1,0.0,6.0,6.0,0.0,0
126,126,6.0,1,4.0,2.0,3.0,2.0,3.0,4.0,4.0,0.0,1,0.0,6.0,6.0,0.0,0
127,127,6.0,0,3.0,2.0,4.0,6.0,4.0,4.0,3.0,6.0,0,0.0,6.0,6.0,0.0,1
128,128,6.0,0,2.0,0.0,2.0,3.0,2.0,3.0,5.0,2.0,0,0.0,6.0,6.0,0.0,1
129,129,6.0,0,5.0,6.0,2.0,2.0,3.0,2.0,6.0,2.0,0,0.0,2.0,6.0,0.0,1
130,130,5.0,0,6.0,2.0,3.0,3.0,2.0,2.0,6.0,6.0,0,0.0,0.0,3.0,0.0,1
131,131,5.0,1,4.0,3.0,4.0,6.0,0.0,3.0,6.0,0.0,0,0.0,0.0,3.0,0.0,1
132,132,5.0,1,4.0,2.0,2.0,5.0,0.0,5.0,6.0,6.0,0,0.0,2.0,3.0,0.0,0
133,133,5.0,1,6.0,4.0,3.0,3.0,2.0,2.0,6.0,0.0,1,0.0,0.0,3.0,0.0,1
134,134,5.0,1,2.0,3.0,2.0,3.0,0.0,2.0,6.0,6.0,1,0.0,2.0,3.0,0.0,1
135,135,5.0,0,0.0,3.0,5.0,2.0,3.0,2.0,6.0,0.0,1,0.0,0.0,3.0,0.0,1
136,136,5.0,0,6.0,4.0,4.0,3.0,6.0,3.0,6.0,0.0,1,0.0,0.0,3.0,0.0,1
137,137,5.0,1,6.0,3.0,5.0,2.0,6.0,3.0,6.0,6.0,0,0.0,0.0,3.0,0.0,1
138,138,5.0,0,6.0,3.0,3.0,3.0,0.0,2.0,6.0,6.0,0,0.0,0.0,3.0,0.0,1
139,139,5.0,1,3.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,0,0.0,6.0,3.0,0.0,0
140,140,3.0,0,0.0,5.0,4.0,3.0,2.0,3.0,6.0,6.0,0,0.0,6.0,3.0,0.0,1
141,141,3.0,0,3.0,6.0,4.0,6.0,6.0,4.0,2.0,0.0,0,0.0,6.0,3.0,0.0,0
142,142,3.0,0,4.0,3.0,2.0,5.0,0.0,5.0,0.0,0.0,0,0.0,3.0,3.0,0.0,0
143,143,3.0,0,5.0,6.0,3.0,3.0,2.0,3.0,2.0,0.0,1,0.0,6.0,3.0,0.0,0
144,144,3.0,0,6.0,3.0,2.0,4.0,6.0,3.0,3.0,6.0,1,0.0,3.0,3.0,0.0,0
145,145,3.0,0,6.0,2.0,4.0,3.0,3.0,3.0,3.0,0.0,1,0.0,6.0,3.0,0.0,0
146,146,3.0,0,6.0,4.0,4.0,3.0,2.0,4.0,3.0,6.0,1,0.0,6.0,3.0,0.0,0
147,147,3.0,0,6.0,2.0,4.0,2.0,3.0,4.0,2.0,0.0,0,0.0,6.0,3.0,0.0,1
148,148,3.0,0,5.0,2.0,3.0,3.0,6.0,3.0,4.0,6.0,0,0.0,6.0,3.0,0.0,1
149,149,3.0,0,2.0,2.0,2.0,3.0,6.0,2.0,6.0,6.0,0,0.0,2.0,3.0,0.0,0
150,150,4.0,0,6.0,4.0,4.0,5.0,3.0,5.0,6.0,2.0,0,0.0,3.0,4.0,0.0,0
151,151,4.0,1,2.0,2.0,0.0,6.0,0.0,6.0,6.0,0.0,0,0.0,3.0,4.0,0.0,0
152,152,4.0,1,4.0,0.0,4.0,6.0,2.0,6.0,0.0,0.0,0,0.0,5.0,4.0,0.0,0
153,153,4.0,1,4.0,2.0,6.0,6.0,3.0,5.0,2.0,6.0,0,0.0,3.0,4.0,0.0,0
154,154,4.0,1,6.0,2.0,2.0,6.0,0.0,5.0,3.0,2.0,0,0.0,5.0,4.0,0.0,0
155,155,4.0,0,2.0,2.0,3.0,5.0,4.0,5.0,3.0,6.0,0,0.0,3.0,4.0,0.0,0
156,156,4.0,0,4.0,4.0,2.0,5.0,2.0,6.0,2.0,6.0,0,0.0,3.0,4.0,0.0,0
157,157,4.0,1,4.0,3.0,3.0,5.0,2.0,6.0,6.0,0.0,0,0.0,3.0,4.0,0.0,1
158,158,4.0,0,3.0,3.0,2.0,6.0,6.0,5.0,3.0,0.0,0,0.0,3.0,4.0,0.0,1
159,159,4.0,1,3.0,0.0,3.0,5.0,3.0,4.0,6.0,0.0,0,0.0,4.0,4.0,0.0,0
160,160,2.0,0,6.0,5.0,3.0,4.0,3.0,4.0,6.0,5.0,0,0.0,0.0,2.0,6.0,0
161,161,2.0,1,2.0,6.0,2.0,6.0,2.0,5.0,2.0,3.0,0,0.0,0.0,2.0,6.0,0
162,162,2.0,1,4.0,2.0,4.0,6.0,6.0,6.0,0.0,3.0,0,0.0,2.0,2.0,6.0,0
163,163,2.0,1,5.0,6.0,3.0,4.0,3.0,4.0,2.0,4.0,0,0.0,0.0,2.0,6.0,0
164,164,2.0,1,6.0,3.0,3.0,4.0,2.0,5.0,4.0,5.0,0,0.0,2.0,2.0,6.0,0
165,165,2.0,0,2.0,6.0,3.0,3.0,4.0,4.0,3.0,4.0,0,0.0,0.0,2.0,6.0,0
166,166,2.0,0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,0,0.0,0.0,2.0,6.0,0
167,167,2.0,1,5.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,0,0.0,0.0,2.0,6.0,0
168,168,2.0,0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,0,0.0,0.0,2.0,6.0,1
169,169,2.0,1,2.0,6.0,3.0,4.0,2.0,3.0,6.0,2.0,0,0.0,6.0,2.0,6.0,0
170,170,3.0,0,2.0,4.0,2.0,4.0,2.0,6.0,6.0,3.0,0,0.0,3.0,5.0,0.0,0
171,171,3.0,1,6.0,4.0,4.0,6.0,6.0,2.0,2.0,6.0,0,0.0,3.0,5.0,0.0,0
172,172,3.0,1,4.0,4.0,6.0,6.0,0.0,4.0,0.0,6.0,0,0.0,5.0,5.0,0.0,0
173,173,3.0,1,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,0,0.0,2.0,5.0,0.0,0
174,174,3.0,1,2.0,4.0,2.0,4.0,6.0,2.0,4.0,3.0,0,0.0,5.0,5.0,0.0,0
175,175,3.0,0,4.0,3.0,4.0,3.0,3.0,6.0,3.0,2.0,0,0.0,2.0,5.0,0.0,0
176,176,3.0,0,3.0,6.0,3.0,4.0,2.0,3.0,3.0,3.0,0,0.0,3.0,5.0,0.0,0
177,177,3.0,1,3.0,6.0,3.0,3.0,3.0,3.0,2.0,6.0,0,0.0,2.0,5.0,0.0,1
178,178,3.0,0,2.0,6.0,3.0,4.0,6.0,2.0,4.0,0.0,0,0.0,2.0,5.0,0.0,0
179,179,3.0,1,4.0,4.0,4.0,4.0,6.0,6.0,6.0,0.0,0,0.0,4.0,5.0,0.0,0
180,180,6.0,0,3.0,3.0,6.0,5.0,3.0,4.0,0.0,4.0,0,0.0,0.0,0.0,0.0,1
181,181,6.0,1,6.0,3.0,3.0,6.0,0.0,5.0,6.0,2.0,0,0.0,0.0,0.0,0.0,1
182,182,6.0,1,4.0,2.0,3.0,6.0,2.0,6.0,0.0,6.0,0,0.0,2.0,0.0,0.0,0
183,183,6.0,1,4.0,4.0,4.0,5.0,3.0,4.0,6.0,3.0,0,0.0,0.0,0.0,0.0,1
184,184,6.0,1,3.0,3.0,4.0,6.0,0.0,4.0,3.0,4.0,0,0.0,2.0,0.0,0.0,1
185,185,6.0,0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,0,0.0,0.0,0.0,0.0,1
186,186,6.0,0,4.0,4.0,6.0,5.0,2.0,5.0,2.0,3.0,0,0.0,0.0,0.0,0.0,1
187,187,6.0,1,6.0,3.0,6.0,4.0,2.0,5.0,6.0,6.0,0,0.0,0.0,0.0,0.0,1
188,188,6.0,0,6.0,3.0,5.0,5.0,6.0,4.0,3.0,6.0,0,0.0,0.0,0.0,0.0,1
189,189,6.0,1,6.0,6.0,2.0,5.0,3.0,3.0,5.0,6.0,0,0.0,6.0,0.0,0.0,1
190,190,3.0,0,3.0,6.0,6.0,6.0,3.0,2.0,2.0,6.0,0,0.0,0.0,0.0,0.0,0
191,191,3.0,1,5.0,0.0,5.0,6.0,6.0,3.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0
192,192,3.0,1,4.0,3.0,4.0,6.0,2.0,5.0,6.0,0.0,0,0.0,2.0,0.0,0.0,0
193,193,3.0,1,5.0,3.0,5.0,6.0,3.0,2.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0
194,194,3.0,1,4.0,3.0,4.0,6.0,0.0,3.0,3.0,6.0,0,0.0,2.0,0.0,0.0,0
195,195,3.0,0,4.0,3.0,3.0,6.0,4.0,2.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0
196,196,3.0,0,3.0,3.0,5.0,6.0,2.0,3.0,2.0,6.0,0,0.0,0.0,0.0,0.0,0
197,197,3.0,1,6.0,0.0,5.0,6.0,2.0,3.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1
198,198,3.0,0,6.0,2.0,5.0,6.0,6.0,2.0,5.0,6.0,0,0.0,0.0,0.0,0.0,0
199,199,3.0,1,2.0,2.0,3.0,6.0,2.0,6.0,6.0,6.0,0,0.0,6.0,0.0,0.0,0
200,200,3.0,1,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,0,0.0,5.0,6.0,3.0,0
201,201,3.0,1,3.0,0.0,4.0,3.0,3.0,6.0,6.0,5.0,0,0.0,2.0,6.0,3.0,0
202,202,3.0,1,4.0,6.0,3.0,2.0,4.0,3.0,3.0,6.0,0,0.0,2.0,6.0,3.0,0
203,203,3.0,0,2.0,2.0,3.0,3.0,6.0,5.0,2.0,6.0,0,0.0,2.0,6.0,3.0,0
204,204,3.0,0,4.0,4.0,6.0,2.0,2.0,4.0,4.0,6.0,0,0.0,3.0,6.0,3.0,0
205,205,3.0,0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,0,0.0,4.0,6.0,3.0,0
206,206,3.0,0,4.0,2.0,2.0,2.0,6.0,3.0,2.0,3.0,0,0.0,3.0,6.0,3.0,0
207,207,3.0,0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,0,0.0,3.0,6.0,3.0,0
208,208,3.0,0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,0.0,0,0.0,5.0,6.0,3.0,0
209,209,3.0,1,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,0,0.0,2.0,6.0,3.0,0
210,210,3.0,0,2.0,4.0,3.0,3.0,6.0,2.0,2.0,3.0,0,0.0,4.0,6.0,3.0,0
211,211,3.0,0,3.0,2.0,4.0,2.0,6.0,5.0,3.0,6.0,0,0.0,4.0,6.0,3.0,0
212,212,3.0,0,2.0,0.0,3.0,6.0,3.0,2.0,6.0,0.0,0,0.0,6.0,6.0,3.0,0
213,213,3.0,0,4.0,4.0,4.0,4.0,2.0,3.0,6.0,4.0,0,0.0,3.0,6.0,3.0,0
214,214,3.0,0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,0,0.0,2.0,6.0,3.0,0
215,215,3.0,0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,0,0.0,2.0,6.0,3.0,0
216,216,2.0,0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,6.0,0,0.0,3.0,5.0,6.0,0
217,217,2.0,0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,6.0,0,0.0,0.0,5.0,6.0,0
218,218,2.0,0,4.0,6.0,2.0,2.0,5.0,3.0,6.0,2.0,1,0.0,0.0,5.0,6.0,0
219,219,2.0,0,5.0,3.0,3.0,3.0,6.0,5.0,6.0,6.0,0,0.0,0.0,5.0,6.0,0
220,220,2.0,0,6.0,2.0,4.0,3.0,3.0,4.0,3.0,6.0,0,0.0,6.0,5.0,6.0,1
221,221,2.0,0,5.0,6.0,3.0,3.0,3.0,4.0,6.0,0.0,0,0.0,2.0,5.0,6.0,1
